b_quark	70.6051 -59.8734 -18.3958 -32.3168	21.1937 -19.0896 -7.89176 -2.23769
b_quark	26.3274 5.55986 23.5041 9.60757	42.7402 9.79532 28.145 30.3506
Tau	37.6502 36.6977 -7.99271 -1.94434	54.5134 50.3506 -19.5906 -7.04118
Tau	42.7956 -27.3804 -13.5456 -29.9189	27.5065 -24.5315 -2.13866 -12.1278
b_quark	61.979 -21.7147 2.52309 57.8448	38.3843 -35.0081 2.96472 14.8837
b_quark	16.199 0.136619 -15.5774 -1.50346	43.5992 42.1763 -7.85825 -6.54398
W_boson	96.4377 7.91776 -93.9935 19.9603	53.0858 51.1528 -5.3607 12.9774
b_quark	86.1545 -21.7652 -37.303 74.4304	56.5178 -40.8699 -35.8892 14.7785
b_quark	20.9185 6.98409 -19.2698 0.0800096	18.6857 14.2162 -11.2318 1.85164
W_boson	54.615 51.2919 -17.7151 5.81117	30.6236 15.5758 -16.3981 20.5415
Tau	38.6609 -8.16204 37.7342 1.01063	85.0785 -83.5539 15.6788 2.85001
Tau	34.5239 -21.1495 -19.1207 19.3867	75.2966 -34.7474 -63.0808 21.9056
b_quark	46.7851 -46.5598 -0.833024 -1.69199	57.0302 -1.08446 -23.4937 -51.7865
W_boson	59.2012 -3.60887 31.4575 -49.9783	77.2606 -2.49143 63.9901 -43.173
b_quark	51.3287 -37.8043 17.7115 -29.5686	56.209 -55.8679 0.606137 -4.51568
b_quark	87.9995 1.08409 -12.3324 87.024	12.0385 6.22156 -6.95135 6.35793
b_quark	76.9931 59.9347 -40.2809 26.3769	33.2621 13.5681 -30.0411 1.52777
b_quark	25.875 13.4251 21.6756 1.40572	85.0166 72.9578 41.4058 13.1556
W_boson	62.7753 1.99517 -59.0535 -21.0973	88.226 87.0549 -9.8637 -10.18
b_quark	64.3404 -56.3604 -18.3381 24.6867	93.5213 -24.3319 -77.1809 46.6886
b_quark	37.7127 4.91149 8.798 -36.1005	50.2187 29.9935 30.8941 -25.5028
b_quark	55.114 -0.811938 -54.7804 -4.30454	62.034 -30.0137 -17.0775 -51.3642
W_boson	61.8294 15.9216 -40.777 43.615	54.7314 1.28158 -53.955 8.85379
b_quark	67.5461 -50.8595 44.1959 -2.24547	54.4132 -33.6756 40.9047 -11.6653
W_boson	39.6945 38.0521 10.8026 2.5797	29.865 28.1991 9.52492 1.28763
b_quark	38.8562 -37.1583 9.93402 3.59266	31.3511 -30.5578 4.93804 2.6928
b_quark	16.1234 14.7442 4.8958 1.06344	38.0473 18.6656 4.85146 32.5296
W_boson	7.77056 7.47413 -0.411506 0.0487613	13.4017 6.84239 -11.3259 0.406184
W_boson	88.5276 -51.6891 2.69664 -71.7896	47.1057 -41.9796 1.71605 -21.1985
b_quark	40.6039 -38.2356 7.22498 10.8188	42.2344 -40.3283 3.14091 11.4033
b_quark	40.4208 38.6528 -0.736924 11.0358	32.7693 15.7533 -1.92685 28.3633
Z_boson	28.6126 -1.39524 9.9081 -26.6896	36.9695 -1.23486 32.1819 -17.981
b_quark	42.7671 -40.472 5.00747 -12.1857	41.112 -3.50724 1.09045 -40.7337
Tau	83.2094 17.5364 54.7601 60.1203	29.696 1.95886 29.2904 4.11518
b_quark	89.2707 -46.327 76.1033 3.72573	28.2191 -7.61902 3.80097 26.5772
W_boson	62.4252 61.2465 7.7306 9.03646	106.819 25.9407 64.0226 81.4497
W_boson	47.8968 -25.9845 30.6793 -25.9487	72.8023 -49.4255 9.81496 -52.5035
b_quark	68.4211 -45.87 -6.29409 50.2025	42.4321 -34.1568 -24.7906 1.32171
b_quark	22.8821 -16.648 11.7812 -9.49557	53.1251 -17.2003 2.85542 -50.008
W_boson	29.567 14.1594 -0.621096 25.8647	88.0497 80.7102 -1.01075 35.1178
b_quark	49.6084 -44.3428 -4.21898 -21.4346	70.2421 -23.7413 -65.9307 -2.44378
b_quark	15.4533 -13.6744 5.16811 -2.76264	88.9372 -1.49885 25.0908 -85.2089
W_boson	60.9677 41.5325 22.2434 -38.6394	74.5131 37.9989 58.0002 -27.2013
b_quark	80.5747 -76.0902 4.17578 -25.8389	26.0542 -17.629 0.267147 -18.7215
b_quark	66.2685 15.3013 11.8239 63.2464	56.4717 2.07107 50.5552 24.7279
b_quark	67.3184 1.1639 66.9464 -5.579	59.2885 14.8086 9.21041 -56.5113
W_boson	86.3635 18.249 -57.6364 61.6387	40.3675 25.5349 -27.7898 14.1733
b_quark	67.1701 -63.1101 -14.9188 16.9966	26.463 -18.9192 -1.72192 17.942
b_quark	44.5557 23.6341 37.0412 6.09233	84.7342 38.9753 16.8308 73.2125
W_boson	37.1534 -1.29243 -5.83221 36.6107	18.8618 -1.41343 -18.6709 0.904845
b_quark	71.2463 -57.6537 -1.6206 -41.6171	29.4926 -26.9819 -2.85125 -10.779
b_quark	23.7275 6.99649 17.5354 -13.7506	91.2829 88.1797 18.7043 -13.7694
b_quark	56.457 54.903 -12.4702 -0.259073	73.1147 3.95254 -72.8276 -2.96636
W_boson	84.5751 -0.027974 83.3795 -14.0163	56.8724 -0.0405599 3.18917 -56.7446
W_boson	57.7141 -16.4772 -10.5721 54.2522	78.0302 -67.4584 -7.79244 38.3798
b_quark	42.96 -22.2336 -36.4512 2.25202	47.2101 -38.1505 -24.2873 12.8838
W_boson	26.0254 17.0561 -10.616 16.4123	16.2872 0.0788102 -15.7435 3.61424
b_quark	55.9143 -26.2882 47.5365 -12.5756	68.2164 -43.9543 51.5436 -6.87638
b_quark	52.0347 51.0627 -8.99549 -1.35203	21.228 12.8428 -16.1546 -2.69225
b_quark	41.3082 4.24536 39.8826 -8.95811	37.7185 25.0537 19.9243 -19.5075
b_quark	70.6384 -19.9577 -65.3978 17.2373	21.9802 -13.1809 -5.62273 16.134
b_quark	57.0694 -9.78884 17.048 53.4133	41.4547 -27.2714 3.40188 30.7526
b_quark	45.2632 1.51443 -7.35304 44.4401	45.8602 1.79186 -39.8203 22.2895
b_quark	31.1171 21.4013 -2.42205 -22.0662	47.6447 5.52261 -5.96878 -46.7592
b_quark	31.9914 23.8721 13.6763 -15.7816	53.4607 9.32254 45.2999 -26.4875
b_quark	33.9664 -2.64958 24.8164 -22.6577	49.4152 -33.2282 19.0147 -30.9633
b_quark	32.5878 -7.42224 -30.4719 7.80186	58.0179 -17.9059 -54.758 5.43466
b_quark	39.9897 -7.17255 -39.0921 -1.43847	28.705 -8.31695 -2.2992 -27.0564
W_boson	15.656 10.6575 -6.38472 9.2961	79.9552 7.22638 -1.00354 79.5943
W_boson	76.0228 -74.9237 12.6354 1.37773	73.3327 -14.9799 6.55003 71.4566
W_boson	44.4858 -15.396 34.8762 22.831	71.7685 -63.6881 31.7994 8.88775
b_quark	90.2048 -80.5413 -40.2955 2.96724	26.4054 -15.6755 -20.7687 1.64725
b_quark	35.2966 23.5126 21.8044 14.1459	53.2348 20.4464 45.612 17.8316
b_quark	30.8731 7.91417 0.817762 -29.536	22.7354 20.6912 6.15748 -5.77827
b_quark	75.3169 -3.83731 -23.9393 -71.1854	23.1303 -7.68863 -20.7272 -5.36708
b_quark	26.1906 16.3632 -19.9391 1.77605	53.1074 50.9119 -13.4752 5.41521
Tau	47.7092 16.867 -42.932 12.0564	70.0253 69.111 -8.42226 7.28823
b_quark	63.5298 -33.9889 -52.943 7.76869	62.3439 -16.6163 -7.82136 59.4307
W_boson	23.0494 16.664 15.6044 2.39622	74.7173 7.98451 18.7252 71.8605
W_boson	69.7749 -65.7376 23.2908 -0.545069	18.5374 -11.1411 11.9222 -8.5455
W_boson	41.0369 -26.1455 12.5287 28.9676	89.3253 -67.4006 58.4878 3.31746
b_quark	70.9779 -52.2908 -30.471 -36.8454	47.4947 -35.7173 -13.6303 -27.8706
b_quark	36.497 34.5208 3.82584 10.4036	55.0733 44.9282 15.006 27.7827
Tau	57.5471 3.38795 -6.2478 -57.0789	12.8519 10.48 -6.85164 -2.28947
b_quark	41.668 -9.89463 -40.0157 -4.42553	37.5475 -35.6168 -11.1242 -0.184134
